t=2025-11-26T22:17:12+0300 lvl=info msg="no configuration paths supplied"
t=2025-11-26T22:17:12+0300 lvl=info msg="using configuration at default config path" path="/Users/eli/Library/Application Support/ngrok/ngrok.yml"
t=2025-11-26T22:17:12+0300 lvl=info msg="open config file" path="/Users/eli/Library/Application Support/ngrok/ngrok.yml" err=nil
t=2025-11-26T23:14:38+0300 lvl=info msg="join connections" obj=join id=093ffa4698a7 l=127.0.0.1:3000 r=62.84.96.86:41710
t=2025-11-26T23:14:39+0300 lvl=info msg="join connections" obj=join id=4d9743cbcf95 l=127.0.0.1:3000 r=62.84.96.86:41714
t=2025-11-26T23:15:03+0300 lvl=info msg="join connections" obj=join id=9b9acff1b1b4 l=127.0.0.1:3000 r=62.84.96.86:56796
t=2025-11-26T23:15:03+0300 lvl=info msg="join connections" obj=join id=c739052e3078 l=127.0.0.1:3000 r=62.84.96.86:56796
t=2025-11-26T23:18:37+0300 lvl=info msg="join connections" obj=join id=aa52fafa6f81 l=127.0.0.1:3000 r=62.84.96.86:51470
t=2025-11-26T23:18:39+0300 lvl=info msg="join connections" obj=join id=19bcc2825bf8 l=127.0.0.1:3000 r=62.84.96.86:42226
t=2025-11-26T23:18:39+0300 lvl=info msg="join connections" obj=join id=e3d28ff1b176 l=127.0.0.1:3000 r=62.84.96.86:42226
t=2025-11-26T23:18:39+0300 lvl=info msg="join connections" obj=join id=2b77e99290d8 l=127.0.0.1:3000 r=62.84.96.86:42226
t=2025-11-26T23:18:41+0300 lvl=info msg="join connections" obj=join id=2d37c7b6943b l=127.0.0.1:3000 r=62.84.96.86:42230
t=2025-11-26T23:20:37+0300 lvl=info msg="join connections" obj=join id=47756d2fca0a l=127.0.0.1:3000 r=62.84.96.86:52134
t=2025-11-26T23:20:38+0300 lvl=info msg="join connections" obj=join id=89aa92c23843 l=127.0.0.1:3000 r=62.84.96.86:60004
t=2025-11-26T23:20:38+0300 lvl=info msg="join connections" obj=join id=a91b1bdeb69a l=127.0.0.1:3000 r=62.84.96.86:60004
t=2025-11-26T23:20:39+0300 lvl=info msg="join connections" obj=join id=130c850f29f7 l=127.0.0.1:3000 r=62.84.96.86:55606
t=2025-11-26T23:22:15+0300 lvl=info msg="join connections" obj=join id=dc07e731724c l=127.0.0.1:3000 r=62.84.96.86:39942
t=2025-11-26T23:22:16+0300 lvl=info msg="join connections" obj=join id=f02f80144915 l=127.0.0.1:3000 r=62.84.96.86:39942
t=2025-11-26T23:25:37+0300 lvl=info msg="join connections" obj=join id=b5f7fcf76074 l=127.0.0.1:3000 r=62.84.96.86:40292
t=2025-11-26T23:25:38+0300 lvl=info msg="join connections" obj=join id=6de0b2ce4625 l=127.0.0.1:3000 r=62.84.96.86:51478
t=2025-11-26T23:25:38+0300 lvl=info msg="join connections" obj=join id=3aae2db0940d l=127.0.0.1:3000 r=62.84.96.86:35414
t=2025-11-26T23:25:38+0300 lvl=info msg="join connections" obj=join id=8d35ee5b9943 l=127.0.0.1:3000 r=62.84.96.86:35414
t=2025-11-26T23:25:38+0300 lvl=info msg="join connections" obj=join id=6db812b22449 l=127.0.0.1:3000 r=62.84.96.86:35414
t=2025-11-26T23:25:38+0300 lvl=info msg="join connections" obj=join id=78f9e49b216d l=127.0.0.1:3000 r=62.84.96.86:35414
t=2025-11-26T23:25:39+0300 lvl=info msg="join connections" obj=join id=ed04a41f9cf3 l=127.0.0.1:3000 r=62.84.96.86:51484
t=2025-11-26T23:25:40+0300 lvl=info msg="join connections" obj=join id=61e55fef9a3a l=127.0.0.1:3000 r=62.84.96.86:40296
t=2025-11-26T23:26:19+0300 lvl=info msg="join connections" obj=join id=5cbe14a53966 l=127.0.0.1:3000 r=62.84.96.86:33824
t=2025-11-26T23:26:20+0300 lvl=info msg="join connections" obj=join id=b20d3f990347 l=127.0.0.1:3000 r=62.84.96.86:33824
t=2025-11-26T23:31:19+0300 lvl=info msg="join connections" obj=join id=781e4db2037a l=127.0.0.1:3000 r=62.84.96.86:52420
t=2025-11-26T23:31:19+0300 lvl=info msg="join connections" obj=join id=cc938199ced6 l=127.0.0.1:3000 r=62.84.96.86:52420
t=2025-11-26T23:32:37+0300 lvl=info msg="join connections" obj=join id=e30a5ef4209e l=127.0.0.1:3000 r=62.84.96.86:59662
t=2025-11-26T23:32:38+0300 lvl=info msg="join connections" obj=join id=ec51835d2fd3 l=127.0.0.1:3000 r=62.84.96.86:54064
t=2025-11-26T23:32:38+0300 lvl=info msg="join connections" obj=join id=730fc5d9a946 l=127.0.0.1:3000 r=62.84.96.86:54070
t=2025-11-26T23:32:38+0300 lvl=info msg="join connections" obj=join id=fb03c534567f l=127.0.0.1:3000 r=62.84.96.86:54070
t=2025-11-26T23:32:39+0300 lvl=info msg="join connections" obj=join id=0e371152e700 l=127.0.0.1:3000 r=62.84.96.86:54070
t=2025-11-26T23:32:39+0300 lvl=info msg="join connections" obj=join id=ba57335a7556 l=127.0.0.1:3000 r=62.84.96.86:54070
t=2025-11-26T23:32:39+0300 lvl=info msg="join connections" obj=join id=51537ada7e3e l=127.0.0.1:3000 r=62.84.96.86:54070
t=2025-11-26T23:32:39+0300 lvl=info msg="join connections" obj=join id=db13f8e3c269 l=127.0.0.1:3000 r=62.84.96.86:54070
t=2025-11-26T23:32:39+0300 lvl=info msg="join connections" obj=join id=711c248a132f l=127.0.0.1:3000 r=62.84.96.86:51250
t=2025-11-26T23:32:40+0300 lvl=info msg="join connections" obj=join id=97df49551588 l=127.0.0.1:3000 r=62.84.96.86:54078
t=2025-11-26T23:37:23+0300 lvl=info msg="join connections" obj=join id=031b4d0bc03b l=127.0.0.1:3000 r=62.84.96.86:50416
t=2025-11-26T23:37:24+0300 lvl=info msg="join connections" obj=join id=b73e8181ea60 l=127.0.0.1:3000 r=62.84.96.86:50416
t=2025-11-26T23:38:37+0300 lvl=info msg="join connections" obj=join id=d9010af2e108 l=127.0.0.1:3000 r=62.84.96.86:49216
t=2025-11-26T23:38:38+0300 lvl=info msg="join connections" obj=join id=4d1d24204e60 l=127.0.0.1:3000 r=62.84.96.86:50342
t=2025-11-26T23:38:38+0300 lvl=info msg="join connections" obj=join id=04c2dc5eb519 l=127.0.0.1:3000 r=62.84.96.86:39356
t=2025-11-26T23:38:38+0300 lvl=info msg="join connections" obj=join id=069645b4194b l=127.0.0.1:3000 r=62.84.96.86:39356
t=2025-11-26T23:38:38+0300 lvl=info msg="join connections" obj=join id=312d2cd6a0d6 l=127.0.0.1:3000 r=62.84.96.86:39356
t=2025-11-26T23:38:39+0300 lvl=info msg="join connections" obj=join id=b1188dff5294 l=127.0.0.1:3000 r=62.84.96.86:39356
t=2025-11-26T23:38:39+0300 lvl=info msg="join connections" obj=join id=2cd5bdcbfa0e l=127.0.0.1:3000 r=62.84.96.86:39356
t=2025-11-26T23:38:39+0300 lvl=info msg="join connections" obj=join id=6a8d3c314779 l=127.0.0.1:3000 r=62.84.96.86:39356
t=2025-11-26T23:38:39+0300 lvl=info msg="join connections" obj=join id=0a85a037621b l=127.0.0.1:3000 r=62.84.96.86:52888
t=2025-11-26T23:38:40+0300 lvl=info msg="join connections" obj=join id=94c006f636b0 l=127.0.0.1:3000 r=62.84.96.86:42384
t=2025-11-26T23:39:56+0300 lvl=info msg="join connections" obj=join id=70100e93baa8 l=127.0.0.1:3000 r=62.84.96.86:40970
t=2025-11-26T23:39:57+0300 lvl=info msg="join connections" obj=join id=971ccc9c06be l=127.0.0.1:3000 r=62.84.96.86:40970
t=2025-11-26T23:40:41+0300 lvl=info msg="join connections" obj=join id=f9c749961b13 l=127.0.0.1:3000 r=62.84.96.86:33904
t=2025-11-26T23:40:42+0300 lvl=info msg="join connections" obj=join id=2dc183efe648 l=127.0.0.1:3000 r=62.84.96.86:33904
t=2025-11-26T23:42:35+0300 lvl=info msg="join connections" obj=join id=c6d12abd486d l=127.0.0.1:3000 r=62.84.96.86:55656
t=2025-11-26T23:42:35+0300 lvl=info msg="join connections" obj=join id=68e7117a95cb l=127.0.0.1:3000 r=62.84.96.86:55656
t=2025-11-26T23:42:35+0300 lvl=info msg="join connections" obj=join id=35a1d1201004 l=127.0.0.1:3000 r=62.84.96.86:55656
t=2025-11-26T23:42:35+0300 lvl=info msg="join connections" obj=join id=18fffec656cd l=127.0.0.1:3000 r=62.84.96.86:55656
t=2025-11-26T23:42:36+0300 lvl=info msg="join connections" obj=join id=34b9e079195f l=127.0.0.1:3000 r=62.84.96.86:55656
t=2025-11-26T23:42:36+0300 lvl=info msg="join connections" obj=join id=9e0c364e870d l=127.0.0.1:3000 r=62.84.96.86:55656
t=2025-11-26T23:42:36+0300 lvl=info msg="join connections" obj=join id=b783ca6f73f0 l=127.0.0.1:3000 r=62.84.96.86:55656
t=2025-11-26T23:42:39+0300 lvl=info msg="join connections" obj=join id=3dad3daea99e l=127.0.0.1:3000 r=62.84.96.86:57112
t=2025-11-26T23:42:49+0300 lvl=info msg="join connections" obj=join id=2fcc39b8c181 l=127.0.0.1:3000 r=62.84.96.86:55656
t=2025-11-26T23:42:51+0300 lvl=info msg="join connections" obj=join id=0cda85d3d154 l=127.0.0.1:3000 r=62.84.96.86:55656
t=2025-11-26T23:43:37+0300 lvl=info msg="join connections" obj=join id=2badc1295d61 l=127.0.0.1:3000 r=62.84.96.86:57376
